60-jobs	10 manning profiles (M1-M10)
job#	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10
1	10	10	10	6	4	5	2	6	9	7
2	10	10	9	4	2	7	8	7	9	7
3	10	10	8	9	7	2	4	10	6	3
4	10	10	7	5	3	8	4	6	7	4
5	10	10	6	9	7	8	3	10	8	2
6	10	10	5	3	1	6	9	10	10	9
7	10	10	4	7	5	10	8	7	6	6
8	10	10	3	8	6	2	7	3	2	9
9	10	10	2	1	3	4	10	10	7	10
10	10	10	1	9	7	3	5	9	5	4
11	10	9	10	2	4	8	8	8	7	2
12	10	9	9	4	2	9	9	5	3	5
13	10	9	8	9	7	2	9	3	8	5
14	10	9	7	10	8	8	5	8	9	5
15	10	9	6	5	3	6	9	6	7	4
16	10	9	5	3	1	8	9	2	5	4
17	10	9	4	10	8	8	9	9	5	5
18	10	9	3	2	4	9	4	6	7	2
19	10	9	2	3	1	8	10	7	6	3
20	10	9	1	1	3	7	10	9	3	9
21	10	8	10	9	7	10	6	7	4	8
22	10	8	9	5	3	2	8	10	2	4
23	10	8	8	6	4	3	2	4	9	10
24	10	8	7	6	4	5	9	6	6	6
25	10	8	6	3	1	7	2	3	7	3
26	10	8	5	2	4	4	4	5	8	2
27	10	8	4	5	3	8	9	10	4	2
28	10	8	3	2	4	5	5	4	9	9
29	10	8	2	9	7	5	9	3	3	9
30	10	8	1	4	2	5	3	4	5	9
31	10	7	1	7	5	2	10	9	6	7
32	10	7	2	10	8	6	6	8	10	4
33	10	7	3	8	6	3	8	4	4	10
34	10	7	4	1	3	10	5	7	6	10
35	10	7	5	3	1	4	4	3	8	7
36	10	7	6	6	4	6	4	10	7	3
37	10	7	7	6	4	4	6	6	3	4
38	10	7	8	8	6	5	8	7	9	5
39	10	7	9	4	2	3	6	4	8	2
40	10	7	10	2	4	5	10	9	5	5
41	10	6	1	5	3	8	4	8	7	4
42	10	6	2	6	4	2	3	10	10	6
43	10	6	3	1	3	3	9	8	7	5
44	10	6	4	6	4	3	8	8	9	6
45	10	6	5	1	3	6	10	8	4	2
46	10	6	6	6	4	9	8	5	5	3
47	10	5	7	6	4	6	4	9	2	5
48	10	5	8	2	4	8	9	8	10	7
49	10	5	9	10	8	5	9	9	2	4
50	10	5	10	5	3	7	5	4	2	8
51	10	5	1	1	3	5	9	3	2	3
52	10	4	2	7	5	9	2	4	3	4
53	10	4	3	8	2	8	5	4	4	7
54	10	4	4	4	3	6	10	7	6	2
55	10	4	5	8	6	5	2	4	4	4
56	10	4	6	6	10	2	6	3	7	9
57	10	3	7	9	10	7	9	10	9	4
58	10	3	8	5	1	8	7	5	6	4
59	10	3	9	9	8	4	9	10	7	4
60	10	3	10	4	7	7	10	5	6	8

