30-jobs	10 manning profiles (M1-M10		
job#	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10
1	10	10	10	3	2	8	8	10	6	4
2	10	10	9	1	4	7	6	3	4	7
3	10	10	8	1	9	9	4	6	10	6
4	10	10	7	10	10	9	10	10	6	5
5	10	10	6	6	5	7	3	8	3	9
6	10	9	5	9	3	10	4	3	7	4
7	10	9	4	10	10	10	9	6	6	2
8	10	9	3	2	2	5	10	4	4	3
9	10	9	2	9	3	2	7	3	6	2
10	10	9	1	5	1	8	10	4	4	2
11	10	8	10	1	3	9	9	2	8	9
12	10	8	9	7	5	10	3	5	4	7
13	10	8	8	8	2	3	8	4	6	4
14	10	8	7	4	3	4	6	8	6	5
15	10	7	6	8	6	10	7	4	4	10
16	10	7	5	6	10	9	6	4	8	2
17	10	7	4	9	10	7	6	8	7	5
18	10	6	3	5	1	3	4	2	3	10
19	10	6	2	9	8	5	6	3	9	10
20	10	6	1	4	7	6	5	8	8	10
21	10	8	10	9	7	8	10	8	9	6
22	10	8	9	5	3	10	6	7	5	8
23	10	8	8	6	4	8	6	5	7	8
24	10	8	7	6	4	9	7	3	10	8
25	10	8	6	3	1	4	2	3	7	9
26	10	8	5	2	4	7	9	9	9	3
27	10	8	4	5	3	4	3	5	9	8
28	10	8	3	2	4	7	10	7	2	5
29	10	8	2	9	7	5	5	4	4	5
30	10	8	1	4	2	6	6	8	9	4
