60-projects
Horizon (77 days* 3 shifts) periods
231
proj	wi	ES
1	0	0
2	8	0
3	1	0
4	10	0
5	6	8
6	5	14
7	8	1
8	9	10
9	1	19
10	9	8
11	8	17
12	3	10
13	6	20
14	2	1
15	5	8
16	1	10
17	3	19
18	10	26
19	9	3
20	1	19
21	3	13
22	6	14
23	3	9
24	3	14
25	7	13
26	6	25
27	10	20
28	9	36
29	8	1
30	4	30
31	3	20
32	3	22
33	6	36
34	1	3
35	9	20
36	9	29
37	1	25
38	2	19
39	4	42
40	9	20
41	10	9
42	8	38
43	4	23
44	3	25
45	6	17
46	6	19
47	7	45
48	3	46
49	2	31
50	10	28
51	4	30
52	2	52
53	1	46
54	4	54
55	10	58
56	8	47
57	6	68
58	10	27
59	3	74
60	10	34
61	1	55
62	0	77
